id_medico,nome,sexo,especialidade,crm,cidade,telefone
1,Dr. Sr. Apollo Sousa,M,Cardiologista,CRM877572,da Cruz de Goiás,+55 84 1819 6001
2,Dra. Isabel Montenegro,F,Pediatra,CRM334053,Novais,+55 (081) 8637-9402
3,Dr. Luigi da Mota,M,Ginecologista,CRM207473,Cunha,(081) 1161 5594
4,Dr. Raul Nascimento,M,Ortopedista,CRM542417,Garcia,+55 21 8495 9310
5,Dr. Sr. João Vitor Barros,M,Cardiologista,CRM198246,Brito,41 4752 5534
6,Dr. Sr. Enzo Gabriel Nascimento,M,Pediatra,CRM629903,Castro,(061) 6483-5030
7,Dr. Murilo da Mata,M,Ortopedista,CRM308496,Cunha,0300 537 6724
8,Dra. Isadora Souza,F,Pediatra,CRM571029,Souza Verde,(011) 9653-2871
9,Dra. Brenda Cassiano,F,Urologista,CRM106814,Vieira,(011) 9166-9784
10,Dr. Anthony Rodrigues,M,Ginecologista,CRM543143,Rodrigues,61 4514-6270
11,Dra. Julia Montenegro,F,Oftalmologista,CRM263032,Montenegro,+55 51 4893 2528
12,Dr. Alexandre Peixoto,M,Urologista,CRM452944,Mendonça do Sul,+55 61 5430 3911
13,Dr. Bernardo Teixeira,M,Cardiologista,CRM498382,Cardoso,(071) 8248-9638
14,Dr. Sr. Leonardo Guerra,M,Oftalmologista,CRM988662,Macedo do Galho,(041) 1331-5098
15,Dra. Hellena Abreu,F,Ortopedista,CRM377370,Santos,+55 (081) 3105 1834
16,Dr. Heitor Nogueira,M,Ginecologista,CRM581741,Silveira,0500 973 7631
17,Dr. Pedro Fogaça,M,Dermatologista,CRM182627,Jesus dos Dourados,+55 (071) 1065 1333
18,Dra. Melissa Carvalho,F,Urologista,CRM759176,Cirino Paulista,(061) 3178-1080
19,Dra. Isabela Cavalcante,F,Ortopedista,CRM301629,Mendonça do Amparo,+55 11 6026-0647
20,Dr. Otávio Sampaio,M,Cardiologista,CRM793384,Cassiano de Correia,(021) 3098 0500
21,Dr. Rhavi Montenegro,M,Urologista,CRM403445,Araújo,31 1219-1361
22,Dr. Josué Pacheco,M,Urologista,CRM344098,Pinto,+55 21 6998 5435
23,Dr. João Gonçalves,M,Dermatologista,CRM391476,Rios,(031) 7510 7991
24,Dra. Zoe Cunha,F,Ginecologista,CRM974628,Cardoso da Praia,+55 (084) 3542 7849
25,Dra. Alexia Rios,F,Pediatra,CRM488162,Ribeiro do Campo,+55 84 4118 2449
26,Dra. Manuela Costela,F,Pediatra,CRM802729,Montenegro do Amparo,+55 61 0164-0052
27,Dra. Sra. Elisa Sousa,F,Ginecologista,CRM816751,Novaes de Santos,(011) 8011-2805
28,Dr. Yuri Casa Grande,M,Ortopedista,CRM765822,Cardoso do Norte,(041) 5053 3158
29,Dr. Eduardo da Costa,M,Ortopedista,CRM864544,Cavalcanti,81 0256 3421
30,Dr. Arthur Miguel Melo,M,Pediatra,CRM584714,Costa,(051) 5433-0365
31,Dra. Ana Lívia Vargas,F,Oftalmologista,CRM771088,Ferreira do Galho,71 8501 4294
32,Dr. Cauê Peixoto,M,Ginecologista,CRM440035,Ferreira Alegre,(021) 9816-9340
33,Dr. Alexandre Moreira,M,Pediatra,CRM961722,Fonseca,(021) 1595-1484
34,Dr. Luan Guerra,M,Urologista,CRM430776,Novaes Grande,+55 (071) 6629-9468
35,Dra. Liz da Paz,F,Oftalmologista,CRM169403,Lopes,0800 957 7738
36,Dr. Enzo Gabriel Ribeiro,M,Ortopedista,CRM852787,da Paz,31 9513-4332
37,Dra. Ana Clara da Cruz,F,Pediatra,CRM787277,Pimenta de Vargas,+55 11 7693 6763
38,Dra. Alana Sá,F,Dermatologista,CRM774079,Vasconcelos,(011) 3287-0831
39,Dra. Catarina Martins,F,Pediatra,CRM377746,Sá dos Dourados,0800-868-7277
40,Dr. Josué Porto,M,Pediatra,CRM881177,Vargas do Galho,(084) 3471-4345
41,Dra. Ágatha Barros,F,Ginecologista,CRM712982,Cassiano,+55 31 6231-6658
42,Dra. Maria Vitória Araújo,F,Ortopedista,CRM518801,Leão,51 9096 7054
43,Dra. Mariah Nascimento,F,Pediatra,CRM245051,Mendonça,+55 21 4670-6562
44,Dra. Carolina Pinto,F,Cardiologista,CRM892495,Gonçalves,0900 901 6272
45,Dr. José Pedro Garcia,M,Urologista,CRM214975,Cunha dos Dourados,(061) 5646 4170
46,Dr. Sr. Luiz Fernando Câmara,M,Ginecologista,CRM267753,Vasconcelos,+55 (061) 0330 9232
47,Dra. Bruna Nunes,F,Ortopedista,CRM166613,Martins,+55 61 5299-1241
48,Dra. Amanda das Neves,F,Dermatologista,CRM724834,Gonçalves do Oeste,+55 11 9314 9190
49,Dra. Yasmin Lima,F,Ortopedista,CRM363626,Azevedo do Galho,(081) 0671 6572
50,Dr. Felipe Siqueira,M,Ginecologista,CRM855731,Pimenta da Prata,(081) 7694-5314
51,Dr. Joaquim Sá,M,Ginecologista,CRM663054,Nunes de Pimenta,41 5075 2735
52,Dra. Manuela da Mota,F,Urologista,CRM772097,Novais do Sul,41 3136-7837
53,Dra. Rebeca Machado,F,Cardiologista,CRM407757,Borges,(021) 3634 9578
54,Dra. Manuella Lima,F,Pediatra,CRM575763,Fogaça dos Dourados,+55 81 4431-3518
55,Dr. Sr. Gael Cunha,M,Ginecologista,CRM854639,da Mota de Silveira,0900 894 1343
56,Dra. Emanuelly da Rosa,F,Ortopedista,CRM898975,Santos,61 2400-8427
57,Dr. Anthony Gabriel Oliveira,M,Ortopedista,CRM211579,Melo do Amparo,(031) 5204-7116
58,Dra. Ana Sophia Oliveira,F,Urologista,CRM769987,Cassiano,+55 (021) 9413-1869
59,Dr. Henry Gabriel Vasconcelos,M,Pediatra,CRM492077,Machado dos Dourados,(031) 9649 9091
60,Dr. Heitor da Luz,M,Ortopedista,CRM916449,Castro,+55 41 2812-0679
61,Dr. João Vitor Andrade,M,Ortopedista,CRM439902,da Paz,(011) 7134 9361
62,Dra. Heloisa Ramos,F,Cardiologista,CRM217301,da Mata,+55 (011) 1024-9947
63,Dra. Nina Sales,F,Urologista,CRM945964,Sampaio das Flores,+55 81 8877-1906
64,Dra. Sra. Isis Alves,F,Pediatra,CRM160738,da Conceição,0500 904 9027
65,Dr. Pedro Miguel da Mota,M,Ortopedista,CRM182582,Pacheco,(021) 7175-6551
66,Dr. Lucas Jesus,M,Ginecologista,CRM609597,da Paz de Ribeiro,71 8071 5451
67,Dr. Théo Abreu,M,Urologista,CRM658582,Jesus de Aragão,+55 (071) 8597-7034
68,Dr. Davi Lucca da Paz,M,Pediatra,CRM791798,Sampaio de Mendonça,+55 71 0932 4808
69,Dra. Ayla Câmara,F,Ortopedista,CRM273148,Martins,+55 71 2748 4677
70,Dra. Mirella Novaes,F,Ortopedista,CRM736059,Gomes,+55 (071) 9821-4658
71,Dra. Agatha da Paz,F,Pediatra,CRM665492,Pastor Verde,(084) 2787-5588
72,Dr. Rafael Duarte,M,Ginecologista,CRM426858,Sampaio,+55 41 9636-0576
73,Dra. Clarice Monteiro,F,Ginecologista,CRM781446,Cardoso,21 9517-1870
74,Dra. Srta. Maria Luísa Rezende,F,Dermatologista,CRM642717,Barbosa,(071) 4596-1586
75,Dra. Raquel Nogueira,F,Cardiologista,CRM359947,Pinto,+55 (084) 3431 6117
76,Dr. Kaique Alves,M,Cardiologista,CRM454508,Duarte,+55 (081) 4556 2386
77,Dr. Fernando Cavalcante,M,Ortopedista,CRM680828,Barros,0800-693-7923
78,Dr. José Miguel Marques,M,Ortopedista,CRM330914,Rios do Sul,(061) 4821-7594
79,Dr. José Marques,M,Cardiologista,CRM842225,Costa das Flores,(081) 1369-5944
80,Dr. Miguel da Mota,M,Pediatra,CRM170674,Nunes,+55 (071) 9743 9533
81,Dr. José Rocha,M,Urologista,CRM446479,Pires,+55 41 0470 9521
82,Dr. Luan Souza,M,Ortopedista,CRM349565,Cavalcanti do Oeste,+55 81 8588 4247
83,Dra. Maitê Camargo,F,Ginecologista,CRM608993,Barbosa de Casa Grande,+55 21 6851-6048
84,Dr. Rafael Freitas,M,Ortopedista,CRM238739,Pacheco das Flores,31 1370 9859
85,Dra. Ana Luiza Porto,F,Pediatra,CRM922733,Sampaio de da Rosa,81 1200 4711
86,Dra. Zoe Carvalho,F,Urologista,CRM526833,Marques da Praia,71 6926-1796
87,Dr. Arthur Gabriel Sales,M,Cardiologista,CRM201639,Cunha dos Dourados,(031) 3515-8506
88,Dra. Esther Campos,F,Oftalmologista,CRM544154,Borges de Ribeiro,+55 11 9005-3293
89,Dra. Giovanna Pastor,F,Dermatologista,CRM864491,da Conceição,(071) 2904 2284
90,Dr. Daniel Ribeiro,M,Ginecologista,CRM785197,Cardoso,+55 (021) 5395 0240
91,Dr. Otto Moura,M,Cardiologista,CRM522179,Souza,+55 (084) 7758 9178
92,Dra. Ana Clara Siqueira,F,Urologista,CRM214576,Marques do Sul,+55 (081) 7661 7711
93,Dr. Diogo Azevedo,M,Pediatra,CRM299448,da Mota,0900-985-6984
94,Dra. Sofia Pereira,F,Pediatra,CRM542374,Brito do Campo,81 3673-6576
95,Dr. Calebe Dias,M,Oftalmologista,CRM585100,Dias Paulista,31 2711 1161
96,Dr. Davi Lucca Novais,M,Urologista,CRM179046,Pastor,84 8516-5604
97,Dra. Luana Fogaça,F,Urologista,CRM997546,Oliveira,21 3273-1585
98,Dr. João Lucas Oliveira,M,Cardiologista,CRM783823,Lima,84 9980-9402
99,Dr. Leonardo Fernandes,M,Cardiologista,CRM890170,Abreu da Serra,+55 (011) 9612-0183
100,Dr. Otto Marques,M,Pediatra,CRM526156,Castro da Praia,(041) 5991 0229
101,Dra. Anna Liz da Mata,F,Dermatologista,CRM324130,Ribeiro de Lima,(084) 9764-3815
102,Dra. Brenda da Paz,F,Cardiologista,CRM272634,Moura de Rios,(041) 0369 0034
103,Dra. Cecilia Teixeira,F,Cardiologista,CRM509386,da Rocha Alegre,+55 71 0762 2683
